tahun;bulan;bentuk_kekerasan;jumlah_kekerasan
2020;1;Kekerasan Fisik;36
2020;1;Kekerasan Psikis;42
2020;1;Kekerasan Seksual;40
2020;1;Penelantaran Rumah Tangga;3
2020;2;Kekerasan Fisik;15
2020;2;Kekerasan Psikis;26
2020;2;Kekerasan Seksual;1
2020;2;Penelantaran Rumah Tangga;8
2020;3;Kekerasan Fisik;23
2020;3;Kekerasan Psikis;20
2020;3;Kekerasan Seksual;21
2020;3;Penelantaran Rumah Tangga;3
2020;4;Kekerasan Fisik;12
2020;4;Kekerasan Psikis;26
2020;4;Kekerasan Seksual;11
2020;4;Penelantaran Rumah Tangga;1
2020;5;Kekerasan Fisik;21
2020;5;Kekerasan Psikis;18
2020;5;Kekerasan Seksual;8
2020;5;Penelantaran Rumah Tangga;2
2020;6;Kekerasan Fisik;32
2020;6;Kekerasan Psikis;36
2020;6;Kekerasan Seksual;8
2020;6;Penelantaran Rumah Tangga;7
2020;7;Kekerasan Fisik;25
2020;7;Kekerasan Psikis;29
2020;7;Kekerasan Seksual;4
2020;7;Penelantaran Rumah Tangga;10
2020;8;Kekerasan Fisik;29
2020;8;Kekerasan Psikis;30
2020;8;Kekerasan Seksual;2
2020;8;Penelantaran Rumah Tangga;9
2020;9;Kekerasan Fisik;24
2020;9;Kekerasan Psikis;31
2020;9;Kekerasan Seksual;2
2020;9;Penelantaran Rumah Tangga;11
2020;10;Kekerasan Fisik;17
2020;10;Kekerasan Psikis;19
2020;10;Kekerasan Seksual;4
2020;10;Penelantaran Rumah Tangga;2
2020;11;Kekerasan Fisik;28
2020;11;Kekerasan Psikis;29
2020;11;Kekerasan Seksual;4
2020;11;Penelantaran Rumah Tangga;4
2020;12;Kekerasan Fisik;23
2020;12;Kekerasan Psikis;22
2020;12;Kekerasan Seksual;10
2020;12;Penelantaran Rumah Tangga;4
